#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-02-12;Autres;175;0;0;0.00;0.00;100.00
2020-02-11;Autres;135;0;0;0.00;0.00;100.00
2020-02-11;Viet Nam;15;0;6;0.00;40.00;60.00
2020-02-11;États-Unis;13;0;3;0.00;23.08;76.92
2020-02-11;Taïwan;18;0;1;0.00;5.56;94.44
2020-02-11;Thaïlande;33;0;10;0.00;30.30;69.70
2020-02-11;Singapour;47;0;9;0.00;19.15;80.85
2020-02-11;Suède;1;0;0;0.00;0.00;100.00
2020-02-11;Philippines;3;1;0;33.33;0.00;66.67
2020-02-11;Fédération de Russie;2;0;0;0.00;0.00;100.00
2020-02-11;Népal;1;0;0;0.00;0.00;100.00
2020-02-11;Malaisie;18;0;3;0.00;16.67;83.33
2020-02-11;Macao;10;0;1;0.00;10.00;90.00
2020-02-11;Sri Lanka;1;0;1;0.00;100.00;0.00
2020-02-11;Corée du Sud;28;0;3;0.00;10.71;89.29
2020-02-11;Italie;3;0;0;0.00;0.00;100.00
2020-02-11;Cambodge;1;0;0;0.00;0.00;100.00
2020-02-11;Japon;26;0;9;0.00;34.62;65.38
2020-02-11;Inde;3;0;0;0.00;0.00;100.00
2020-02-11;Hong-Kong;49;1;0;2.04;0.00;97.96
2020-02-11;France;11;0;0;0.00;0.00;100.00
2020-02-11;Royaume-Uni;8;0;0;0.00;0.00;100.00
2020-02-11;Finlande;1;0;0;0.00;0.00;100.00
2020-02-11;Espagne;2;0;0;0.00;0.00;100.00
2020-02-11;Allemagne;16;0;0;0.00;0.00;100.00
2020-02-11;Chine;44327;1111;4635;2.51;10.46;87.04
2020-02-11;Canada;7;0;0;0.00;0.00;100.00
2020-02-11;Belgique;1;0;0;0.00;0.00;100.00
2020-02-11;Australie;15;0;2;0.00;13.33;86.67
2020-02-11;Émirats Arabes Unis;8;0;0;0.00;0.00;100.00
2020-02-10;Émirats Arabes Unis;8;0;0;0.00;0.00;100.00
2020-02-10;Australie;15;0;2;0.00;13.33;86.67
2020-02-10;Belgique;1;0;0;0.00;0.00;100.00
2020-02-10;Canada;7;0;0;0.00;0.00;100.00
2020-02-10;Chine;42306;1011;3917;2.39;9.26;88.35
2020-02-10;Allemagne;14;0;0;0.00;0.00;100.00
2020-02-10;Espagne;2;0;0;0.00;0.00;100.00
2020-02-10;Finlande;1;0;0;0.00;0.00;100.00
2020-02-10;Royaume-Uni;8;0;0;0.00;0.00;100.00
2020-02-10;France;11;0;0;0.00;0.00;100.00
2020-02-10;Hong-Kong;38;1;0;2.63;0.00;97.37
2020-02-10;Inde;3;0;0;0.00;0.00;100.00
2020-02-10;Japon;26;0;4;0.00;15.38;84.62
2020-02-10;Cambodge;1;0;0;0.00;0.00;100.00
2020-02-10;Italie;3;0;0;0.00;0.00;100.00
2020-02-10;Corée du Sud;27;0;3;0.00;11.11;88.89
2020-02-10;Sri Lanka;1;0;1;0.00;100.00;0.00
2020-02-10;Macao;10;0;1;0.00;10.00;90.00
2020-02-10;Malaisie;18;0;1;0.00;5.56;94.44
2020-02-10;Népal;1;0;0;0.00;0.00;100.00
2020-02-10;Fédération de Russie;2;0;0;0.00;0.00;100.00
2020-02-10;Philippines;3;1;0;33.33;0.00;66.67
2020-02-10;Suède;1;0;0;0.00;0.00;100.00
2020-02-10;Singapour;45;0;2;0.00;4.44;95.56
2020-02-10;Thaïlande;32;0;10;0.00;31.25;68.75
2020-02-10;Taïwan;18;0;1;0.00;5.56;94.44
2020-02-10;États-Unis;12;0;3;0.00;25.00;75.00
2020-02-10;Viet Nam;14;0;1;0.00;7.14;92.86
2020-02-10;Autres;135;0;0;0.00;0.00;100.00
2020-02-09;Autres;64;0;0;0.00;0.00;100.00
2020-02-09;Viet Nam;13;0;1;0.00;7.69;92.31
2020-02-09;États-Unis;12;0;3;0.00;25.00;75.00
2020-02-09;Taïwan;18;0;1;0.00;5.56;94.44
2020-02-09;Thaïlande;32;0;10;0.00;31.25;68.75
2020-02-09;Singapour;40;0;2;0.00;5.00;95.00
2020-02-09;Suède;1;0;0;0.00;0.00;100.00
2020-02-09;Philippines;3;1;0;33.33;0.00;66.67
2020-02-09;Fédération de Russie;2;0;0;0.00;0.00;100.00
2020-02-09;Népal;1;0;0;0.00;0.00;100.00
2020-02-09;Malaisie;16;0;1;0.00;6.25;93.75
2020-02-09;Macao;10;0;1;0.00;10.00;90.00
2020-02-09;Sri Lanka;1;0;1;0.00;100.00;0.00
2020-02-09;Corée du Sud;25;0;3;0.00;12.00;88.00
2020-02-09;Italie;3;0;0;0.00;0.00;100.00
2020-02-09;Japon;26;0;1;0.00;3.85;96.15
2020-02-09;Cambodge;1;0;0;0.00;0.00;100.00
2020-02-09;Inde;3;0;0;0.00;0.00;100.00
2020-02-09;Hong-Kong;29;1;0;3.45;0.00;96.55
2020-02-09;Royaume-Uni;3;0;0;0.00;0.00;100.00
2020-02-09;Finlande;1;0;0;0.00;0.00;100.00
2020-02-09;France;11;0;0;0.00;0.00;100.00
2020-02-09;Espagne;2;0;0;0.00;0.00;100.00
2020-02-09;Allemagne;14;0;0;0.00;0.00;100.00
2020-02-09;Chine;39790;904;3218;2.27;8.09;89.64
2020-02-09;Canada;7;0;0;0.00;0.00;100.00
2020-02-09;Belgique;1;0;0;0.00;0.00;100.00
2020-02-09;Australie;15;0;2;0.00;13.33;86.67
2020-02-09;Émirats Arabes Unis;7;0;0;0.00;0.00;100.00
2020-02-08;Émirats Arabes Unis;7;0;0;0.00;0.00;100.00
2020-02-08;Australie;15;0;2;0.00;13.33;86.67
2020-02-08;Belgique;1;0;0;0.00;0.00;100.00
2020-02-08;Canada;7;0;0;0.00;0.00;100.00
2020-02-08;Chine;36778;804;2595;2.19;7.06;90.76
2020-02-08;Allemagne;13;0;0;0.00;0.00;100.00
2020-02-08;Espagne;1;0;0;0.00;0.00;100.00
2020-02-08;Finlande;1;0;0;0.00;0.00;100.00
2020-02-08;Royaume-Uni;3;0;0;0.00;0.00;100.00
2020-02-08;France;11;0;0;0.00;0.00;100.00
2020-02-08;Inde;3;0;0;0.00;0.00;100.00
2020-02-08;Hong-Kong;26;1;0;3.85;0.00;96.15
2020-02-08;Cambodge;1;0;0;0.00;0.00;100.00
2020-02-08;Italie;3;0;0;0.00;0.00;100.00
2020-02-08;Japon;25;0;1;0.00;4.00;96.00
2020-02-08;Corée du Sud;24;0;1;0.00;4.17;95.83
2020-02-08;Sri Lanka;1;0;1;0.00;100.00;0.00
2020-02-08;Malaisie;16;0;1;0.00;6.25;93.75
2020-02-08;Macao;10;0;1;0.00;10.00;90.00
2020-02-08;Népal;1;0;0;0.00;0.00;100.00
2020-02-08;Fédération de Russie;2;0;0;0.00;0.00;100.00
2020-02-08;Philippines;3;1;0;33.33;0.00;66.67
2020-02-08;Suède;1;0;0;0.00;0.00;100.00
2020-02-08;Singapour;33;0;2;0.00;6.06;93.94
2020-02-08;Thaïlande;32;0;10;0.00;31.25;68.75
2020-02-08;Taïwan;17;0;1;0.00;5.88;94.12
2020-02-08;États-Unis;12;0;0;0.00;0.00;100.00
2020-02-08;Autres;61;0;0;0.00;0.00;100.00
2020-02-08;Viet Nam;13;0;1;0.00;7.69;92.31
2020-02-07;Viet Nam;10;0;1;0.00;10.00;90.00
2020-02-07;Autres;61;0;0;0.00;0.00;100.00
2020-02-07;États-Unis;12;0;0;0.00;0.00;100.00
2020-02-07;Taïwan;16;0;1;0.00;6.25;93.75
2020-02-07;Singapour;30;0;0;0.00;0.00;100.00
2020-02-07;Suède;1;0;0;0.00;0.00;100.00
2020-02-07;Thaïlande;25;0;5;0.00;20.00;80.00
2020-02-07;Philippines;3;1;0;33.33;0.00;66.67
2020-02-07;Fédération de Russie;2;0;0;0.00;0.00;100.00
2020-02-07;Népal;1;0;0;0.00;0.00;100.00
2020-02-07;Macao;10;0;1;0.00;10.00;90.00
2020-02-07;Malaisie;12;0;1;0.00;8.33;91.67
2020-02-07;Sri Lanka;1;0;0;0.00;0.00;100.00
2020-02-07;Corée du Sud;24;0;1;0.00;4.17;95.83
2020-02-07;Japon;25;0;1;0.00;4.00;96.00
2020-02-07;Italie;3;0;0;0.00;0.00;100.00
2020-02-07;Cambodge;1;0;0;0.00;0.00;100.00
2020-02-07;Hong-Kong;25;1;0;4.00;0.00;96.00
2020-02-07;Inde;3;0;0;0.00;0.00;100.00
2020-02-07;France;6;0;0;0.00;0.00;100.00
2020-02-07;Royaume-Uni;3;0;0;0.00;0.00;100.00
2020-02-07;Finlande;1;0;0;0.00;0.00;100.00
2020-02-07;Espagne;1;0;0;0.00;0.00;100.00
2020-02-07;Allemagne;13;0;0;0.00;0.00;100.00
2020-02-07;Chine;34075;717;1998;2.10;5.86;92.03
2020-02-07;Canada;7;0;0;0.00;0.00;100.00
2020-02-07;Belgique;1;0;0;0.00;0.00;100.00
2020-02-07;Australie;15;0;2;0.00;13.33;86.67
2020-02-07;Émirats Arabes Unis;5;0;0;0.00;0.00;100.00
2020-02-06;Émirats Arabes Unis;5;0;0;0.00;0.00;100.00
2020-02-06;Australie;14;0;2;0.00;14.29;85.71
2020-02-06;Belgique;1;0;0;0.00;0.00;100.00
2020-02-06;Canada;5;0;0;0.00;0.00;100.00
2020-02-06;Chine;30553;632;1476;2.07;4.83;93.10
2020-02-06;Allemagne;12;0;0;0.00;0.00;100.00
2020-02-06;Espagne;1;0;0;0.00;0.00;100.00
2020-02-06;Finlande;1;0;0;0.00;0.00;100.00
2020-02-06;Royaume-Uni;2;0;0;0.00;0.00;100.00
2020-02-06;France;6;0;0;0.00;0.00;100.00
2020-02-06;Inde;3;0;0;0.00;0.00;100.00
2020-02-06;Hong-Kong;24;1;0;4.17;0.00;95.83
2020-02-06;Cambodge;1;0;0;0.00;0.00;100.00
2020-02-06;Italie;2;0;0;0.00;0.00;100.00
2020-02-06;Japon;45;0;1;0.00;2.22;97.78
2020-02-06;Corée du Sud;23;0;0;0.00;0.00;100.00
2020-02-06;Sri Lanka;1;0;0;0.00;0.00;100.00
2020-02-06;Malaisie;12;0;0;0.00;0.00;100.00
2020-02-06;Macao;10;0;1;0.00;10.00;90.00
2020-02-06;Népal;1;0;0;0.00;0.00;100.00
2020-02-06;Fédération de Russie;2;0;0;0.00;0.00;100.00
2020-02-06;Philippines;2;1;0;50.00;0.00;50.00
2020-02-06;Thaïlande;25;0;5;0.00;20.00;80.00
2020-02-06;Suède;1;0;0;0.00;0.00;100.00
2020-02-06;Singapour;28;0;0;0.00;0.00;100.00
2020-02-06;Taïwan;16;0;1;0.00;6.25;93.75
2020-02-06;États-Unis;12;0;0;0.00;0.00;100.00
2020-02-06;Viet Nam;10;0;1;0.00;10.00;90.00
2020-02-05;Viet Nam;8;0;1;0.00;12.50;87.50
2020-02-05;États-Unis;12;0;0;0.00;0.00;100.00
2020-02-05;Taïwan;11;0;0;0.00;0.00;100.00
2020-02-05;Singapour;28;0;0;0.00;0.00;100.00
2020-02-05;Suède;1;0;0;0.00;0.00;100.00
2020-02-05;Thaïlande;25;0;5;0.00;20.00;80.00
2020-02-05;Philippines;2;1;0;50.00;0.00;50.00
2020-02-05;Fédération de Russie;2;0;0;0.00;0.00;100.00
2020-02-05;Népal;1;0;0;0.00;0.00;100.00
2020-02-05;Macao;10;0;0;0.00;0.00;100.00
2020-02-05;Malaisie;12;0;0;0.00;0.00;100.00
2020-02-05;Sri Lanka;1;0;0;0.00;0.00;100.00
2020-02-05;Corée du Sud;19;0;0;0.00;0.00;100.00
2020-02-05;Japon;22;0;1;0.00;4.55;95.45
2020-02-05;Italie;2;0;0;0.00;0.00;100.00
2020-02-05;Cambodge;1;0;0;0.00;0.00;100.00
2020-02-05;Hong-Kong;21;1;0;4.76;0.00;95.24
2020-02-05;Inde;3;0;0;0.00;0.00;100.00
2020-02-05;France;6;0;0;0.00;0.00;100.00
2020-02-05;Royaume-Uni;2;0;0;0.00;0.00;100.00
2020-02-05;Finlande;1;0;0;0.00;0.00;100.00
2020-02-05;Espagne;1;0;0;0.00;0.00;100.00
2020-02-05;Allemagne;12;0;0;0.00;0.00;100.00
2020-02-05;Chine;27409;562;1115;2.05;4.07;93.88
2020-02-05;Canada;5;0;0;0.00;0.00;100.00
2020-02-05;Belgique;1;0;0;0.00;0.00;100.00
2020-02-05;Australie;13;0;2;0.00;15.38;84.62
2020-02-05;Émirats Arabes Unis;5;0;0;0.00;0.00;100.00
2020-02-04;Émirats Arabes Unis;5;0;0;0.00;0.00;100.00
2020-02-04;Australie;13;0;2;0.00;15.38;84.62
2020-02-04;Belgique;1;0;0;0.00;0.00;100.00
2020-02-04;Canada;4;0;0;0.00;0.00;100.00
2020-02-04;Chine;23680;490;843;2.07;3.56;94.37
2020-02-04;Allemagne;12;0;0;0.00;0.00;100.00
2020-02-04;Espagne;1;0;0;0.00;0.00;100.00
